Client ID,Server Round,Start Time,End Time
1,1,2024-01-20 23:35:47,2024-01-20 23:36:11
1,2,2024-01-20 23:36:20,2024-01-20 23:36:35
1,3,2024-01-20 23:36:42,2024-01-20 23:36:58
1,4,2024-01-20 23:37:06,2024-01-20 23:37:21
1,5,2024-01-20 23:37:29,2024-01-20 23:37:45
1,6,2024-01-20 23:37:53,2024-01-20 23:38:08
1,7,2024-01-20 23:38:16,2024-01-20 23:38:31
1,8,2024-01-20 23:38:39,2024-01-20 23:38:55
1,9,2024-01-20 23:39:02,2024-01-20 23:39:18
1,10,2024-01-20 23:39:25,2024-01-20 23:39:41
1,11,2024-01-20 23:39:48,2024-01-20 23:40:04
1,12,2024-01-20 23:40:11,2024-01-20 23:40:27
1,13,2024-01-20 23:40:34,2024-01-20 23:40:50
1,14,2024-01-20 23:40:57,2024-01-20 23:41:13
1,15,2024-01-20 23:41:20,2024-01-20 23:41:36
1,16,2024-01-20 23:41:43,2024-01-20 23:41:59
1,17,2024-01-20 23:42:06,2024-01-20 23:42:21
1,18,2024-01-20 23:42:30,2024-01-20 23:42:45
1,19,2024-01-20 23:42:52,2024-01-20 23:43:08
1,20,2024-01-20 23:43:16,2024-01-20 23:43:31
1,21,2024-01-20 23:43:40,2024-01-20 23:43:56
1,22,2024-01-20 23:44:04,2024-01-20 23:44:19
1,23,2024-01-20 23:44:26,2024-01-20 23:44:42
1,24,2024-01-20 23:44:49,2024-01-20 23:45:05
1,25,2024-01-20 23:45:12,2024-01-20 23:45:27
1,26,2024-01-20 23:45:35,2024-01-20 23:45:51
1,27,2024-01-20 23:45:59,2024-01-20 23:46:14
1,28,2024-01-20 23:46:22,2024-01-20 23:46:37
1,29,2024-01-20 23:46:45,2024-01-20 23:47:00
1,30,2024-01-20 23:47:08,2024-01-20 23:47:24
