time,server_round,train_loss,train_acc,val_loss,val_acc
2024-01-20 23:36:11,1,1.6970050294520491,0.3424,2.342764752251761,0.0936374549819928
2024-01-20 23:36:35,2,1.5745662895299621,0.4184,1.9715108701160975,0.290516206482593
2024-01-20 23:36:58,3,1.448591373734555,0.4673333333333333,1.5468307392937797,0.468187274909964
2024-01-20 23:37:21,4,1.3198433892201569,0.5185333333333333,1.709463051387242,0.44657863145258103
2024-01-20 23:37:44,5,1.1917124400704593,0.5724,1.7543908527919225,0.4657863145258103
2024-01-20 23:38:08,6,1.092173229839842,0.6116,1.7531073263713293,0.4561824729891957
2024-01-20 23:38:31,7,1.0028556979308694,0.6428,1.5230567455291748,0.5342136854741897
2024-01-20 23:38:54,8,0.9488200828180475,0.6693333333333333,1.5907291344233923,0.503001200480192
2024-01-20 23:39:17,9,0.9337510799957534,0.6677333333333333,1.6574546439307076,0.5090036014405762
2024-01-20 23:39:40,10,0.839891124579866,0.6998666666666666,1.51752884047372,0.5798319327731093
2024-01-20 23:40:04,11,0.763646419775688,0.7322666666666666,2.4047534125191823,0.4117647058823529
2024-01-20 23:40:27,12,0.7051246792583142,0.746,1.7432253871645247,0.5150060024009604
2024-01-20 23:40:49,13,0.7383965304342367,0.7441333333333333,1.6480588231767928,0.5462184873949579
2024-01-20 23:41:12,14,0.6490432084616968,0.7750666666666667,1.6567227840423584,0.5270108043217286
2024-01-20 23:41:35,15,0.611714425733534,0.7857333333333333,1.8403407505580358,0.4957983193277311
2024-01-20 23:41:58,16,0.5798328119819447,0.7962666666666667,1.699912326676505,0.5714285714285714
2024-01-20 23:42:21,17,0.5360466640884594,0.8102666666666667,1.8941713912146432,0.503001200480192
2024-01-20 23:42:45,18,0.5020480635812727,0.8218666666666666,1.6145885501589095,0.5834333733493398
2024-01-20 23:43:08,19,0.4915150878793102,0.8269333333333333,1.6805636542184013,0.5642256902761105
2024-01-20 23:43:30,20,0.46635682148448493,0.8349333333333333,1.7996644633156913,0.5666266506602641
2024-01-20 23:43:56,21,0.39169819021629076,0.8621333333333333,1.8043981449944633,0.575030012004802
2024-01-20 23:44:18,22,0.4011785701169806,0.8621333333333333,1.9558351039886475,0.5474189675870348
2024-01-20 23:44:41,23,0.389279422618575,0.8605333333333334,1.7958414895193917,0.5666266506602641
2024-01-20 23:45:04,24,0.3827285089735257,0.8656,1.8093176569257463,0.5726290516206483
2024-01-20 23:45:27,25,0.38099083885297935,0.8698666666666667,1.7157920258385795,0.5918367346938775
2024-01-20 23:45:50,26,0.3352265496880321,0.8826666666666667,2.0947230202811107,0.5498199279711885
2024-01-20 23:46:15,27,0.35280619485903597,0.8798666666666667,1.8607219627925329,0.5594237695078031
2024-01-20 23:46:37,28,0.30880502775564034,0.8882666666666666,1.9574638945715768,0.56062424969988
2024-01-20 23:47:00,29,0.3030833404953197,0.8928,1.8384315116064889,0.5846338535414166
2024-01-20 23:47:23,30,0.2792008693440486,0.9024,1.852005021912711,0.5978391356542617
