Client ID,Server Round,Start Time,End Time
1,1,2024-01-20 22:40:54,2024-01-20 22:41:23
1,2,2024-01-20 22:41:34,2024-01-20 22:42:04
1,3,2024-01-20 22:42:14,2024-01-20 22:42:34
1,4,2024-01-20 22:42:43,2024-01-20 22:43:03
1,5,2024-01-20 22:43:14,2024-01-20 22:43:33
1,6,2024-01-20 22:43:46,2024-01-20 22:44:06
1,7,2024-01-20 22:44:16,2024-01-20 22:44:36
1,8,2024-01-20 22:44:46,2024-01-20 22:45:05
1,9,2024-01-20 22:45:15,2024-01-20 22:45:34
1,10,2024-01-20 22:45:44,2024-01-20 22:46:03
1,11,2024-01-20 22:46:14,2024-01-20 22:46:33
1,12,2024-01-20 22:46:43,2024-01-20 22:47:02
1,13,2024-01-20 22:47:12,2024-01-20 22:47:31
1,14,2024-01-20 22:47:41,2024-01-20 22:48:00
1,15,2024-01-20 22:48:10,2024-01-20 22:48:29
1,16,2024-01-20 22:48:39,2024-01-20 22:48:58
1,17,2024-01-20 22:49:09,2024-01-20 22:49:28
1,18,2024-01-20 22:49:38,2024-01-20 22:49:58
1,19,2024-01-20 22:50:07,2024-01-20 22:50:27
1,20,2024-01-20 22:50:37,2024-01-20 22:50:56
