data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
100,2,3,fedyogi,4.62E-03,9.83E-06,8.71E-05
100,2,5,fedyogi,0.02965434505,3.36E-05,0.0001251238188
100,2,10,fedavg,0.01718054964,7.53E-05,0.0001605658845
100,2,10,fedyogi,0.0687724678,7.69E-05,0.0001500146441
100,2,20,fedyogi,4.08E-02,0.0001551562641,0.0002051898424
100,3,3,fedavg,2.23E-02,1.77E-05,0.0001258049799
100,3,3,fedyogi,4.62E-03,7.85E-06,8.71E-05
100,3,5,fedyogi,2.97E-02,3.28E-05,0.0001251238188
100,3,10,fedavg,0.01718054964,7.14E-05,0.0001605658845
100,3,10,fedyogi,0.07393573654,7.33E-05,0.0001498561806
100,3,20,fedyogi,4.08E-02,0.000152937785,0.0002051898424
100,4,3,fedavg,2.23E-02,1.85E-05,0.0001258049799
100,4,3,fedyogi,4.62E-03,9.01E-06,8.71E-05
100,4,5,fedyogi,0.02965434505,3.08E-05,0.0001251238188
100,4,10,fedavg,0.01718054964,7.00E-05,0.0001605658845
100,4,10,fedyogi,0.07830465625,7.01E-05,0.0001497220961
100,4,20,fedyogi,4.08E-02,0.0001512989381,0.0002051898424
100,5,3,fedavg,2.23E-02,1.07E-05,0.0001258049799
100,5,3,fedyogi,4.62E-03,2.90E-06,8.71E-05
100,5,5,fedyogi,0.02965434505,1.55E-05,0.0001251238188
100,5,10,fedavg,0.01718054964,4.61E-05,0.0001605658845
100,5,10,fedyogi,0.06638942069,4.04E-05,0.0001500877811
100,5,20,fedyogi,4.08E-02,8.63E-05,0.0002051898424
100,6,3,fedavg,2.23E-02,1.55E-05,0.0001258049799
100,6,3,fedyogi,4.62E-03,8.51E-06,8.71E-05
100,6,5,fedyogi,0.02965434505,3.09E-05,0.0001251238188
100,6,10,fedavg,0.01718054964,6.92E-05,0.0001605658845
100,6,10,fedyogi,0.06082897743,6.98E-05,0.0001502584341
100,6,20,fedyogi,4.08E-02,0.0001506506293,0.0002051898424
100,7,3,fedavg,2.23E-02,1.51E-05,0.0001258049799
100,7,3,fedyogi,4.62E-03,7.89E-06,8.71E-05
100,7,5,fedyogi,0.02965434505,3.19E-05,0.0001251238188
100,7,10,fedavg,0.01718054964,7.11E-05,0.0001605658845
100,7,10,fedyogi,0.07602521988,6.97E-05,0.0001497920532
100,7,20,fedyogi,4.08E-02,0.0001501758844,0.0002051898424
100,8,3,fedavg,2.23E-02,1.61E-05,0.0001258049799
100,8,3,fedyogi,4.62E-03,1.04E-05,8.71E-05
100,8,5,fedyogi,0.02965434505,3.21E-05,0.0001251238188
100,8,10,fedavg,0.01718054964,7.42E-05,0.0001605658845
100,8,10,fedyogi,0.06519789714,7.27E-05,0.0001501243496
100,8,20,fedyogi,4.08E-02,0.0001528876861,0.0002051898424
100,9,3,fedavg,2.23E-02,1.71E-05,0.0001258049799
100,9,3,fedyogi,4.62E-03,9.19E-06,8.71E-05
100,9,5,fedyogi,0.02965434505,3.35E-05,0.0001251238188
100,9,10,fedavg,0.01718054964,7.49E-05,0.0001605658845
100,9,10,fedyogi,0.06082897743,7.46E-05,0.0001502584341
100,9,20,fedyogi,4.08E-02,0.0001551172191,0.0002051898424
100,10,3,fedavg,2.23E-02,1.92E-05,0.0001258049799
100,10,3,fedyogi,4.62E-03,1.41E-05,8.71E-05
100,10,5,fedyogi,0.02965434505,3.80E-05,0.0001251238188
100,10,10,fedavg,0.01718054964,8.75E-05,0.0001605658845
100,10,10,fedyogi,0.0681574879,8.51E-05,0.0001500335181
100,10,20,fedyogi,4.08E-02,0.0001771274034,0.0002051898424
100,11,3,fedavg,2.23E-02,8.34E-06,0.0001258049799
100,11,3,fedyogi,4.62E-03,2.70E-06,8.71E-05
100,11,5,fedyogi,0.02965434505,1.73E-05,0.0001251238188
100,11,10,fedavg,0.01718054964,4.10E-05,0.0001605658845
100,11,10,fedyogi,0.06400637358,4.31E-05,0.0001501609181
100,11,20,fedyogi,4.08E-02,9.21E-05,0.0002051898424
100,12,3,fedavg,2.23E-02,1.22E-05,0.0001258049799
100,12,3,fedyogi,4.62E-03,4.26E-06,8.71E-05
100,12,5,fedyogi,0.02965434505,2.54E-05,0.0001251238188
100,12,10,fedavg,0.01718054964,5.49E-05,0.0001605658845
100,12,10,fedyogi,0.06607168108,5.93E-05,0.0001500975327
100,12,20,fedyogi,4.08E-02,0.0001245841284,0.0002051898424
100,13,3,fedavg,2.23E-02,2.81E-05,0.0001258049799
100,13,3,fedyogi,4.62E-03,2.55E-05,8.71E-05
100,13,5,fedyogi,0.02965434505,5.07E-05,0.0001251238188
100,13,10,fedavg,0.01718054964,0.0001083354461,0.0001605658845
100,13,10,fedyogi,0.06632133363,0.0001091415829,0.0001500898707
100,13,20,fedyogi,4.08E-02,0.0002262449515,0.0002051898424
100,14,3,fedavg,2.23E-02,1.26E-05,0.0001258049799
100,14,5,fedyogi,2.97E-02,2.93E-05,0.0001251238188
100,14,10,fedavg,0.01718054964,6.44E-05,0.0001605658845
100,14,10,fedyogi,0.06332550298,6.48E-05,0.0001501818143
100,14,20,fedyogi,0.04083277863,0.0001385640279,0.0002051898424
100,15,3,fedavg,2.23E-02,4.80E-06,0.0001258049799
100,15,5,fedyogi,2.97E-02,1.66E-05,0.0001251238188
100,15,10,fedavg,1.72E-02,4.47E-05,0.0001605658845
100,15,10,fedyogi,5.83E-02,3.95E-05,0.0001503350538
100,15,20,fedyogi,0.04083277863,8.86E-05,0.0002051898424
100,16,3,fedavg,0.02226748145,1.77E-05,0.0001258049799
100,16,3,fedyogi,4.62E-03,8.51E-06,8.71E-05
100,16,5,fedyogi,2.97E-02,3.39E-05,0.0001251238188
100,16,10,fedavg,1.72E-02,7.54E-05,0.0001605658845
100,16,10,fedyogi,0.0685959458,7.64E-05,0.0001500200616
100,16,20,fedyogi,0.04083277863,0.0001628814266,0.0002051898424
100,17,3,fedavg,0.02226748145,1.07E-05,0.0001258049799
100,17,3,fedyogi,4.62E-03,3.59E-06,8.71E-05
100,17,5,fedyogi,2.97E-02,2.47E-05,0.0001251238188
100,17,10,fedavg,1.72E-02,5.70E-05,0.0001605658845
100,17,10,fedyogi,6.68E-02,5.44E-05,0.0001500740679
100,17,20,fedyogi,0.04083277863,0.0001142877592,0.0002051898424
100,18,3,fedavg,0.02226748145,3.30E-05,0.0001258049799
100,18,3,fedyogi,4.62E-03,1.60E-05,8.71E-05
100,18,5,fedyogi,2.97E-02,5.43E-05,0.0001251238188
100,18,10,fedavg,1.72E-02,0.0001199236031,0.0001605658845
100,18,10,fedyogi,0.06894268545,0.0001185431104,0.00015000942
100,18,20,fedyogi,0.04083277863,0.000245312706,0.0002051898424
100,19,3,fedavg,0.02226748145,1.83E-05,0.0001258049799
100,19,3,fedyogi,4.62E-03,7.38E-06,8.71E-05
100,19,5,fedyogi,2.97E-02,3.68E-05,0.0001251238188
100,19,10,fedavg,1.72E-02,7.94E-05,0.0001605658845
100,19,10,fedyogi,6.82E-02,7.83E-05,0.0001500315218
100,19,20,fedyogi,0.04083277863,0.0001659629192,0.0002051898424
100,20,3,fedavg,0.02226748145,1.16E-05,0.0001258049799
100,20,3,fedyogi,4.62E-03,4.18E-06,8.71E-05
100,20,5,fedyogi,2.97E-02,2.45E-05,0.0001251238188
100,20,10,fedavg,1.72E-02,5.86E-05,0.0001605658845
100,20,10,fedyogi,0.07081507961,5.38E-05,0.0001499519552
100,20,20,fedyogi,0.04083277863,0.0001147380346,0.0002051898424
100,21,3,fedavg,0.02226748145,1.19E-05,0.0001258049799
100,21,3,fedyogi,4.62E-03,9.06E-06,8.71E-05
100,21,5,fedyogi,2.97E-02,2.74E-05,0.0001251238188
100,21,10,fedavg,1.72E-02,6.29E-05,0.0001605658845
100,21,10,fedyogi,0.0657221675,6.25E-05,0.0001501082594
100,21,20,fedyogi,0.04083277863,0.0001347804865,0.0002051898424
100,22,3,fedavg,0.02226748145,0,0.0001258049799
100,22,3,fedyogi,4.62E-03,2.45E-06,8.71E-05
100,22,5,fedyogi,2.97E-02,1.42E-06,0.0001251238188
100,22,10,fedavg,1.72E-02,5.66E-06,0.0001605658845
100,22,10,fedyogi,6.75E-02,6.23E-06,0.0001500549955
100,22,20,fedyogi,4.08E-02,2.03E-05,0.0002051898424
100,23,3,fedavg,2.23E-02,1.50E-05,0.0001258049799
100,23,5,fedyogi,2.97E-02,2.92E-05,0.0001251238188
100,23,10,fedavg,1.72E-02,6.53E-05,0.0001605658845
100,23,10,fedyogi,6.03E-02,6.52E-05,0.0001502751946
100,23,20,fedyogi,4.08E-02,0.0001418545212,0.0002051898424
100,24,3,fedavg,0.02226748145,1.39E-05,0.0001258049799
100,24,3,fedyogi,0.004617529383,6.87E-06,8.71E-05
100,24,5,fedyogi,2.97E-02,2.91E-05,0.0001251238188
100,24,10,fedavg,1.72E-02,6.43E-05,0.0001605658845
100,24,10,fedyogi,7.29E-02,6.43E-05,0.0001498885458
100,24,20,fedyogi,0.04083277863,0.0001356641198,0.0002051898424
100,25,3,fedavg,0.02226748145,1.91E-05,0.0001258049799
100,25,3,fedyogi,0.004617529383,8.19E-06,8.71E-05
100,25,5,fedyogi,2.97E-02,3.21E-05,0.0001251238188
100,25,10,fedavg,1.72E-02,7.36E-05,0.0001605658845
100,25,10,fedyogi,6.67E-02,7.41E-05,0.0001500796547
100,25,20,fedyogi,0.04083277863,0.0001565025364,0.0002051898424
100,26,3,fedavg,0.02226748145,1.74E-05,0.0001258049799
100,26,3,fedyogi,0.004617529383,8.05E-06,8.71E-05
100,26,5,fedyogi,2.97E-02,3.42E-05,0.0001251238188
100,26,10,fedavg,1.72E-02,7.53E-05,0.0001605658845
100,26,10,fedyogi,6.82E-02,7.66E-05,0.0001500335181
100,26,20,fedyogi,0.04083277863,0.0001594510794,0.0002051898424
100,27,3,fedavg,0.02226748145,1.34E-05,0.0001258049799
100,27,3,fedyogi,0.004617529383,8.22E-06,8.71E-05
100,27,5,fedyogi,2.97E-02,2.75E-05,0.0001251238188
100,27,10,fedavg,1.72E-02,6.25E-05,0.0001605658845
100,27,10,fedyogi,6.52E-02,6.36E-05,0.0001501243496
100,27,20,fedyogi,0.04083277863,0.0001348416065,0.0002051898424
100,28,3,fedavg,0.02226748145,1.51E-05,0.0001258049799
100,28,3,fedyogi,0.004617529383,6.69E-06,8.71E-05
100,28,5,fedyogi,2.97E-02,3.06E-05,0.0001251238188
100,28,10,fedavg,1.72E-02,6.67E-05,0.0001605658845
100,28,10,fedyogi,6.42E-02,6.62E-05,0.0001501552921
100,28,20,fedyogi,0.04083277863,0.0001420541851,0.0002051898424
100,29,3,fedavg,0.02226748145,2.14E-06,0.0001258049799
100,29,3,fedyogi,0.004617529383,1.61E-06,8.71E-05
100,29,5,fedyogi,2.97E-02,8.33E-06,0.0001251238188
100,29,10,fedavg,1.72E-02,2.30E-05,0.0001605658845
100,29,10,fedyogi,5.73E-02,2.25E-05,0.0001503657016
100,29,20,fedyogi,4.08E-02,5.12E-05,0.0002051898424
100,30,3,fedavg,2.23E-02,4.69E-06,0.0001258049799
100,30,3,fedyogi,0.004617529383,1.64E-06,8.71E-05
100,30,5,fedyogi,2.97E-02,1.38E-05,0.0001251238188
100,30,10,fedavg,1.72E-02,3.83E-05,0.0001605658845
100,30,10,fedyogi,6.60E-02,3.64E-05,0.0001501006876
100,30,20,fedyogi,0.04083277863,8.09E-05,0.0002051898424
100,31,3,fedavg,2.23E-02,1.56E-05,0.0001258049799
100,31,3,fedyogi,0.004617529383,1.45E-05,8.71E-05
100,31,5,fedyogi,2.97E-02,2.48E-05,0.0001251238188
100,31,10,fedavg,1.72E-02,6.02E-05,0.0001605658845
100,31,10,fedyogi,6.93E-02,5.81E-05,0.000149997927
100,31,20,fedyogi,0.04083277863,0.0001236131654,0.0002051898424
100,32,3,fedavg,0.02226748145,7.28E-06,0.0001258049799
100,32,3,fedyogi,0.004617529383,7.13E-06,8.71E-05
100,32,5,fedyogi,2.97E-02,1.54E-05,0.0001251238188
100,32,10,fedavg,1.72E-02,4.29E-05,0.0001605658845
100,32,10,fedyogi,6.57E-02,3.84E-05,0.0001501082594
100,32,20,fedyogi,4.08E-02,8.50E-05,0.0002051898424
100,33,3,fedavg,0.02226748145,1.65E-05,0.0001258049799
100,33,3,fedyogi,0.004617529383,5.79E-06,8.71E-05
100,33,5,fedyogi,2.97E-02,3.36E-05,0.0001251238188
100,33,10,fedavg,1.72E-02,7.22E-05,0.0001605658845
100,33,10,fedyogi,6.48E-02,7.19E-05,0.0001501373255
100,33,20,fedyogi,0.04083277863,0.0001501804287,0.0002051898424
100,34,3,fedavg,0.02226748145,1.52E-05,0.0001258049799
