Client ID,Server Round,Start Time,End Time
0,1,2024-01-20 23:35:47,2024-01-20 23:36:11
0,2,2024-01-20 23:36:20,2024-01-20 23:36:35
0,3,2024-01-20 23:36:42,2024-01-20 23:36:58
0,4,2024-01-20 23:37:06,2024-01-20 23:37:21
0,5,2024-01-20 23:37:29,2024-01-20 23:37:44
0,6,2024-01-20 23:37:53,2024-01-20 23:38:09
0,7,2024-01-20 23:38:16,2024-01-20 23:38:32
0,8,2024-01-20 23:38:39,2024-01-20 23:38:54
0,9,2024-01-20 23:39:02,2024-01-20 23:39:18
0,10,2024-01-20 23:39:26,2024-01-20 23:39:41
0,11,2024-01-20 23:39:49,2024-01-20 23:40:04
0,12,2024-01-20 23:40:11,2024-01-20 23:40:27
0,13,2024-01-20 23:40:34,2024-01-20 23:40:50
0,14,2024-01-20 23:40:57,2024-01-20 23:41:13
0,15,2024-01-20 23:41:20,2024-01-20 23:41:36
0,16,2024-01-20 23:41:43,2024-01-20 23:41:59
0,17,2024-01-20 23:42:06,2024-01-20 23:42:22
0,18,2024-01-20 23:42:30,2024-01-20 23:42:45
0,19,2024-01-20 23:42:52,2024-01-20 23:43:07
0,20,2024-01-20 23:43:16,2024-01-20 23:43:31
0,21,2024-01-20 23:43:40,2024-01-20 23:43:56
0,22,2024-01-20 23:44:04,2024-01-20 23:44:19
0,23,2024-01-20 23:44:26,2024-01-20 23:44:42
0,24,2024-01-20 23:44:49,2024-01-20 23:45:05
0,25,2024-01-20 23:45:12,2024-01-20 23:45:27
0,26,2024-01-20 23:45:35,2024-01-20 23:45:50
0,27,2024-01-20 23:45:59,2024-01-20 23:46:14
0,28,2024-01-20 23:46:22,2024-01-20 23:46:37
0,29,2024-01-20 23:46:45,2024-01-20 23:47:00
0,30,2024-01-20 23:47:08,2024-01-20 23:47:24
