,data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
0,100,0,3,fedadam,0.0138436746614891,2.050726640977778e-05,0.00011731927679228052
1,100,0,3,fedavg,0.0222674814497875,2.0415639733472224e-05,0.00012580497994230227
2,100,0,3,fedyogi,0.00461752938317,9.257516989999999e-06,8.712319590886792e-05
3,100,0,5,fedadam,0.04052069263511936,3.353191284269445e-05,0.00012392541905814405
4,100,0,5,fedyogi,0.0296543450451,3.334545136262346e-05,0.0001251238187556962
5,100,0,10,fedadam,0.028018738860210526,7.406955014579062e-05,0.00015155749418060835
6,100,0,10,fedavg,0.0171805496442688,7.335176449902777e-05,0.00016056588452587666
7,100,0,10,fedyogi,0.06781924895898556,7.494949455223149e-05,0.00015004389885999757
8,100,0,20,fedadam,0.0257168515389566,0.00015464619583101854,0.00020573481231165282
9,100,0,20,fedyogi,0.04083277863272631,0.00016008959865547616,0.00020518984237550904
10,100,1,3,fedadam,0.0138436746614891,2.0272437898611112e-06,0.00011731927679228051
11,100,1,3,fedavg,0.0222674814497875,1.232079993402778e-06,0.00012580497994230227
12,100,1,3,fedyogi,0.00461752938317,0.0,8.712319590886792e-05
13,100,1,5,fedadam,0.04562062443093818,5.513351082745728e-06,0.00012349034062442753
14,100,1,5,fedyogi,0.029654345045099995,5.0177978018981484e-06,0.0001251238187556962
15,100,1,10,fedadam,0.02825035166901005,1.9279348183211805e-05,0.00015152862875917675
16,100,1,10,fedavg,0.0171805496442688,1.8643596236180556e-05,0.00016056588452587666
17,100,1,10,fedyogi,0.06822253385463035,2.017570981849359e-05,0.0001500315218296969
18,100,1,20,fedadam,0.0257168515389566,4.505095523354167e-05,0.00020573481231165282
19,100,1,20,fedyogi,0.0408327786327263,4.5453977609797985e-05,0.00020518984237550902
20,100,2,3,fedadam,0.0138436746614891,1.4989717678055556e-05,0.00011731927679228051
21,100,2,3,fedavg,0.0222674814497875,1.790988183412037e-05,0.00012580497994230227
22,100,2,3,fedyogi,0.00461752938317,9.825078845833333e-06,8.712319590886792e-05
23,100,2,5,fedadam,0.04004543017386025,3.335358718139785e-05,0.0001239659640017879
24,100,2,5,fedyogi,0.0296543450451,3.364947382101852e-05,0.0001251238187556962
25,100,2,10,fedadam,0.028336379283707015,7.595067680776457e-05,0.00015151790731693075
26,100,2,10,fedavg,0.0171805496442688,7.52632076445139e-05,0.00016056588452587666
27,100,2,10,fedyogi,0.06877246780323688,7.690130371166667e-05,0.00015001464406110508
28,100,2,20,fedadam,0.0257168515389566,0.0001594580159600926,0.00020573481231165282
29,100,2,20,fedyogi,0.0408327786327263,0.00015515626410111114,0.00020518984237550904
30,100,3,3,fedadam,0.0138436746614891,1.5671505118240742e-05,0.00011731927679228051
31,100,3,3,fedavg,0.0222674814497875,1.7679662641851852e-05,0.00012580497994230227
32,100,3,3,fedyogi,0.00461752938317,7.8495447345e-06,8.712319590886792e-05
33,100,3,5,fedadam,0.0442039767098774,3.264435886667659e-05,0.00012361119574490434
34,100,3,5,fedyogi,0.029654345045099995,3.2766861065e-05,0.0001251238187556962
35,100,3,10,fedadam,0.02950106083652745,7.277667556119658e-05,0.00015137275548344632
36,100,3,10,fedavg,0.0171805496442688,7.143775364544445e-05,0.00016056588452587666
37,100,3,10,fedyogi,0.07393573654293166,7.32708511729514e-05,0.00014985618056710415
38,100,3,20,fedadam,0.0257168515389566,0.00015622061195314817,0.00020573481231165282
39,100,3,20,fedyogi,0.0408327786327263,0.0001529377850482071,0.00020518984237550902
40,100,4,3,fedadam,0.0138436746614891,1.5462961667583336e-05,0.00011731927679228052
41,100,4,3,fedavg,0.0222674814497875,1.853371847002778e-05,0.00012580497994230227
42,100,4,3,fedyogi,0.00461752938317,9.010173285555555e-06,8.712319590886792e-05
43,100,4,5,fedadam,0.042157707779456266,3.110524009464815e-05,0.00012378576425225974
44,100,4,5,fedyogi,0.0296543450451,3.078666896534722e-05,0.0001251238187556962
45,100,4,10,fedadam,0.02942304389040551,6.975829511267543e-05,0.00015138247857277064
46,100,4,10,fedavg,0.0171805496442688,7.000803133694444e-05,0.00016056588452587666
47,100,4,10,fedyogi,0.0783046562457503,7.006900305239198e-05,0.0001497220960721803
48,100,4,20,fedadam,0.0257168515389566,0.00014951447501560186,0.00020573481231165282
49,100,4,20,fedyogi,0.0408327786327263,0.0001512989381367014,0.00020518984237550904
50,100,5,3,fedadam,0.0138436746614891,7.544340065972223e-06,0.00011731927679228051
51,100,5,3,fedavg,0.0222674814497875,1.0742423113715278e-05,0.00012580497994230227
52,100,5,3,fedyogi,0.00461752938317,2.9019573181944448e-06,8.712319590886792e-05
53,100,5,5,fedadam,0.0410287318178446,1.6567317613793104e-05,0.0001238820779114903
54,100,5,5,fedyogi,0.029654345045099995,1.548878194178241e-05,0.0001251238187556962
55,100,5,10,fedadam,0.028611667650737298,4.0919403315666663e-05,0.0001514835987017435
56,100,5,10,fedavg,0.0171805496442688,4.612956091861111e-05,0.00016056588452587666
57,100,5,10,fedyogi,0.06638942069260854,4.043679033982323e-05,0.00015008778105833628
58,100,5,20,fedadam,0.025716851538956597,8.950626224694445e-05,0.00020573481231165284
59,100,5,20,fedyogi,0.0408327786327263,8.629852067825758e-05,0.00020518984237550902
60,100,6,3,fedadam,0.0138436746614891,1.5877995790339507e-05,0.00011731927679228051
61,100,6,3,fedavg,0.0222674814497875,1.5486547444444445e-05,0.00012580497994230227
62,100,6,3,fedyogi,0.00461752938317,8.514760269861111e-06,8.712319590886792e-05
63,100,6,5,fedadam,0.03992541440081503,3.0820460628089226e-05,0.00012397620262392017
64,100,6,5,fedyogi,0.0296543450451,3.090515010496528e-05,0.0001251238187556962
65,100,6,10,fedadam,0.02796932812766663,6.911317856098149e-05,0.0001515636521371804
66,100,6,10,fedavg,0.0171805496442688,6.921002636883334e-05,0.00016056588452587666
67,100,6,10,fedyogi,0.06082897743447573,6.97588739363426e-05,0.00015025843405187575
68,100,6,20,fedadam,0.0257168515389566,0.00014411689528111111,0.00020573481231165282
69,100,6,20,fedyogi,0.0408327786327263,0.0001506506292649074,0.00020518984237550904
70,100,7,3,fedadam,0.0138436746614891,1.3316345822896826e-05,0.0001173192767922805
71,100,7,3,fedavg,0.0222674814497875,1.512790904861111e-05,0.00012580497994230227
72,100,7,3,fedyogi,0.00461752938317,7.886596804583335e-06,8.712319590886792e-05
73,100,7,5,fedadam,0.03631122512111017,3.0604973803968256e-05,0.0001242845314161323
74,100,7,5,fedyogi,0.029654345045099995,3.1930100712453704e-05,0.0001251238187556962
75,100,7,10,fedadam,0.02871872423791574,6.970804022000001e-05,0.00015147025646250405
76,100,7,10,fedavg,0.0171805496442688,7.114146223314816e-05,0.00016056588452587666
77,100,7,10,fedyogi,0.07602521987906231,6.967091005881643e-05,0.00014979205319996667
78,100,7,20,fedadam,0.025716851538956604,0.00014785736962924604,0.00020573481231165282
79,100,7,20,fedyogi,0.0408327786327263,0.00015017588436511112,0.00020518984237550904
80,100,8,3,fedadam,0.0138436746614891,1.629631565416667e-05,0.00011731927679228051
81,100,8,3,fedavg,0.0222674814497875,1.6058168633968254e-05,0.00012580497994230227
82,100,8,3,fedyogi,0.00461752938317,1.0438252501944445e-05,8.712319590886792e-05
83,100,8,5,fedadam,0.04187546378905335,3.172152199e-05,0.00012380984266706737
84,100,8,5,fedyogi,0.029654345045099995,3.209540864634259e-05,0.0001251238187556962
85,100,8,10,fedadam,0.0289620346633213,7.272516508795454e-05,0.00015143993319150523
86,100,8,10,fedavg,0.0171805496442688,7.424105633819445e-05,0.00016056588452587666
87,100,8,10,fedyogi,0.06519789713729437,7.274174427738195e-05,0.00015012434955695187
88,100,8,20,fedadam,0.025716851538956597,0.00015214649763583334,0.00020573481231165284
89,100,8,20,fedyogi,0.04083277863272631,0.00015288768608692462,0.00020518984237550904
90,100,9,3,fedadam,0.0138436746614891,1.7102488227499997e-05,0.00011731927679228051
91,100,9,3,fedavg,0.0222674814497875,1.7082680447333333e-05,0.00012580497994230227
92,100,9,3,fedyogi,0.00461752938317,9.189616186785715e-06,8.712319590886792e-05
93,100,9,5,fedadam,0.043436625860969476,3.315261334382813e-05,0.00012367665893516262
94,100,9,5,fedyogi,0.0296543450451,3.350532972333333e-05,0.0001251238187556962
95,100,9,10,fedadam,0.02971282111885844,7.380935692980159e-05,0.0001513463642409946
96,100,9,10,fedavg,0.0171805496442688,7.487032964700618e-05,0.00016056588452587666
97,100,9,10,fedyogi,0.06082897743447573,7.456911038521605e-05,0.00015025843405187575
98,100,9,20,fedadam,0.0257168515389566,0.00015613970319277776,0.00020573481231165282
99,100,9,20,fedyogi,0.0408327786327263,0.0001551172191172778,0.00020518984237550904
100,100,10,3,fedadam,0.0138436746614891,1.8595712533944445e-05,0.00011731927679228052
101,100,10,3,fedavg,0.0222674814497875,1.9226942734197532e-05,0.00012580497994230227
102,100,10,3,fedyogi,0.00461752938317,1.4064568573402779e-05,8.712319590886792e-05
103,100,10,5,fedadam,0.04098841124778704,3.894742921813492e-05,0.00012388551768503426
104,100,10,5,fedyogi,0.0296543450451,3.79769518502381e-05,0.0001251238187556962
105,100,10,10,fedadam,0.0228306119431013,8.626209560416667e-05,0.00015220407962067534
106,100,10,10,fedavg,0.0171805496442688,8.754415183222222e-05,0.00016056588452587666
107,100,10,10,fedyogi,0.06815748790371991,8.507561554128138e-05,0.00015003351812490669
108,100,10,20,fedadam,0.0257168515389566,0.0001798345242697531,0.00020573481231165282
109,100,10,20,fedyogi,0.0408327786327263,0.00017712740339030557,0.00020518984237550904
110,100,11,3,fedadam,0.0138436746614891,7.155660795111111e-06,0.00011731927679228052
111,100,11,3,fedavg,0.0222674814497875,8.33702195179487e-06,0.00012580497994230227
112,100,11,3,fedyogi,0.00461752938317,2.70186651e-06,8.712319590886792e-05
113,100,11,5,fedadam,0.04124825492149132,1.7317340808703704e-05,0.0001238633502555288
114,100,11,5,fedyogi,0.0296543450451,1.7296761723271608e-05,0.0001251238187556962
115,100,11,10,fedadam,0.0228306119431013,4.421761831780555e-05,0.00015220407962067534
116,100,11,10,fedavg,0.0171805496442688,4.0957072284305556e-05,0.00016056588452587666
117,100,11,10,fedyogi,0.06400637358198019,4.3120567347310605e-05,0.00015016091805556748
118,100,11,20,fedadam,0.0257168515389566,9.669215108185185e-05,0.00020573481231165282
119,100,11,20,fedyogi,0.0408327786327263,9.214999218357639e-05,0.00020518984237550904
120,100,12,3,fedadam,0.0138436746614891,1.1305177788703704e-05,0.00011731927679228051
121,100,12,3,fedavg,0.0222674814497875,1.2193888688214286e-05,0.00012580497994230227
122,100,12,3,fedyogi,0.00461752938317,4.259937756296297e-06,8.71231959088679e-05
123,100,12,5,fedadam,0.04566559737446392,2.5498099526005295e-05,0.0001234865039539362
124,100,12,5,fedyogi,0.0296543450451,2.538495478975e-05,0.0001251238187556962
125,100,12,10,fedadam,0.0228306119431013,5.824441933924604e-05,0.00015220407962067534
126,100,12,10,fedavg,0.0171805496442688,5.486138476597222e-05,0.00016056588452587666
