Client ID,Server Round,Start Time,End Time
1,1,2024-01-20 22:55:50,2024-01-20 22:56:20
1,2,2024-01-20 22:56:37,2024-01-20 22:56:59
1,3,2024-01-20 22:57:12,2024-01-20 22:57:34
1,4,2024-01-20 22:57:47,2024-01-20 22:58:09
1,5,2024-01-20 22:58:22,2024-01-20 22:58:44
1,6,2024-01-20 22:58:57,2024-01-20 22:59:19
1,7,2024-01-20 22:59:32,2024-01-20 22:59:54
1,8,2024-01-20 23:00:08,2024-01-20 23:00:29
1,9,2024-01-20 23:00:43,2024-01-20 23:01:04
1,10,2024-01-20 23:01:18,2024-01-20 23:01:39
1,11,2024-01-20 23:01:52,2024-01-20 23:02:13
1,12,2024-01-20 23:02:28,2024-01-20 23:02:49
1,13,2024-01-20 23:03:02,2024-01-20 23:03:23
1,14,2024-01-20 23:03:38,2024-01-20 23:03:59
1,15,2024-01-20 23:04:12,2024-01-20 23:04:33
1,16,2024-01-20 23:04:48,2024-01-20 23:05:10
1,17,2024-01-20 23:05:24,2024-01-20 23:05:45
1,18,2024-01-20 23:05:59,2024-01-20 23:06:20
1,19,2024-01-20 23:06:34,2024-01-20 23:06:55
1,20,2024-01-20 23:07:08,2024-01-20 23:07:29
