time,server_round,loss,accuracy
2024-01-20 23:11:57,1,2.3084229060581754,0.09723889555822329
2024-01-20 23:12:32,2,1.7967827490397863,0.37334933973589435
2024-01-20 23:13:07,3,1.0951755046844482,0.6074429771908764
2024-01-20 23:13:43,4,0.8820391552788871,0.6794717887154862
2024-01-20 23:14:18,5,0.819470729146685,0.709483793517407
2024-01-20 23:14:52,6,0.8003509725843158,0.7430972388955582
2024-01-20 23:15:28,7,0.7715015837124416,0.7527010804321729
2024-01-20 23:16:04,8,0.8200685467038836,0.765906362545018
2024-01-20 23:16:42,9,0.7446889792169843,0.7887154861944778
2024-01-20 23:17:17,10,0.7709636517933437,0.7707082833133253
2024-01-20 23:17:51,11,0.8149849431855338,0.7947178871548619
2024-01-20 23:18:27,12,0.8521684237888881,0.7935174069627852
2024-01-20 23:19:03,13,0.8723682165145874,0.78031212484994
2024-01-20 23:19:38,14,0.8685455620288849,0.7887154861944778
2024-01-20 23:20:13,15,0.8132689680371966,0.7971188475390156
2024-01-20 23:20:49,16,0.8806262356894357,0.7863145258103241
2024-01-20 23:21:24,17,0.8739024911608014,0.7947178871548619
2024-01-20 23:21:57,18,0.9362451689583915,0.7923169267707083
2024-01-20 23:22:33,19,0.9182094165257045,0.7887154861944778
2024-01-20 23:23:10,20,0.9185882806777954,0.7923169267707083
2024-01-20 23:23:44,21,1.1020502958978926,0.7935174069627852
2024-01-20 23:24:19,22,1.039210660117013,0.787515006002401
2024-01-20 23:24:55,23,1.0209215538842338,0.787515006002401
2024-01-20 23:25:30,24,1.134246357849666,0.78031212484994
2024-01-20 23:26:05,25,1.1271664159638541,0.7911164465786314
2024-01-20 23:26:40,26,1.1912896462849207,0.7839135654261705
2024-01-20 23:27:16,27,1.2510645304407393,0.7815126050420168
2024-01-20 23:27:51,28,1.3405170610972814,0.7935174069627852
2024-01-20 23:28:28,29,1.1619627986635481,0.7827130852340937
2024-01-20 23:29:04,30,1.247724907738822,0.7899159663865546
