Client ID,Server Round,Start Time,End Time
3,1,2024-01-20 23:11:13,2024-01-20 23:11:43
3,2,2024-01-20 23:12:00,2024-01-20 23:12:21
3,3,2024-01-20 23:12:36,2024-01-20 23:12:58
3,4,2024-01-20 23:13:10,2024-01-20 23:13:31
3,5,2024-01-20 23:13:46,2024-01-20 23:14:07
3,6,2024-01-20 23:14:21,2024-01-20 23:14:42
3,7,2024-01-20 23:14:56,2024-01-20 23:15:17
3,8,2024-01-20 23:15:31,2024-01-20 23:15:52
3,9,2024-01-20 23:16:07,2024-01-20 23:16:29
3,10,2024-01-20 23:16:44,2024-01-20 23:17:05
3,11,2024-01-20 23:17:20,2024-01-20 23:17:41
3,12,2024-01-20 23:17:55,2024-01-20 23:18:16
3,13,2024-01-20 23:18:31,2024-01-20 23:18:52
3,14,2024-01-20 23:19:06,2024-01-20 23:19:27
3,15,2024-01-20 23:19:41,2024-01-20 23:20:03
3,16,2024-01-20 23:20:16,2024-01-20 23:20:37
3,17,2024-01-20 23:20:52,2024-01-20 23:21:13
3,18,2024-01-20 23:21:26,2024-01-20 23:21:48
3,19,2024-01-20 23:22:01,2024-01-20 23:22:23
3,20,2024-01-20 23:22:36,2024-01-20 23:22:57
3,21,2024-01-20 23:23:12,2024-01-20 23:23:33
3,22,2024-01-20 23:23:47,2024-01-20 23:24:09
3,23,2024-01-20 23:24:22,2024-01-20 23:24:44
3,24,2024-01-20 23:24:57,2024-01-20 23:25:19
3,25,2024-01-20 23:25:33,2024-01-20 23:25:54
3,26,2024-01-20 23:26:08,2024-01-20 23:26:29
3,27,2024-01-20 23:26:44,2024-01-20 23:27:05
3,28,2024-01-20 23:27:19,2024-01-20 23:27:40
3,29,2024-01-20 23:27:54,2024-01-20 23:28:15
3,30,2024-01-20 23:28:30,2024-01-20 23:28:52
