Client ID,Server Round,Start Time,End Time
2,1,2024-01-20 22:05:05,2024-01-20 22:05:43
2,2,2024-01-20 22:05:54,2024-01-20 22:06:16
2,3,2024-01-20 22:06:26,2024-01-20 22:06:48
2,4,2024-01-20 22:06:57,2024-01-20 22:07:19
2,5,2024-01-20 22:07:29,2024-01-20 22:07:50
2,6,2024-01-20 22:07:59,2024-01-20 22:08:20
2,7,2024-01-20 22:08:32,2024-01-20 22:08:53
2,8,2024-01-20 22:09:04,2024-01-20 22:09:25
2,9,2024-01-20 22:09:36,2024-01-20 22:09:58
2,10,2024-01-20 22:10:07,2024-01-20 22:10:28
2,11,2024-01-20 22:10:37,2024-01-20 22:10:58
2,12,2024-01-20 22:11:07,2024-01-20 22:11:27
2,13,2024-01-20 22:11:37,2024-01-20 22:11:59
2,14,2024-01-20 22:12:07,2024-01-20 22:12:29
2,15,2024-01-20 22:12:39,2024-01-20 22:13:00
2,16,2024-01-20 22:13:10,2024-01-20 22:13:32
2,17,2024-01-20 22:13:42,2024-01-20 22:14:03
2,18,2024-01-20 22:14:13,2024-01-20 22:14:34
2,19,2024-01-20 22:14:43,2024-01-20 22:15:04
2,20,2024-01-20 22:15:18,2024-01-20 22:15:39
