time,server_round,train_loss,train_acc,val_loss,val_acc
2024-01-20 22:05:41,1,2.1690876928426452,0.18253333333333333,2.3063167333602905,0.11404561824729892
2024-01-20 22:06:17,2,1.8801188569957927,0.2733333333333333,1.9946960636547633,0.27611044417767105
2024-01-20 22:06:47,3,1.7269467913498313,0.3374666666666667,1.7463726316179549,0.33373349339735897
2024-01-20 22:07:19,4,1.6155995261871208,0.3916,1.7697110176086426,0.3817527010804322
2024-01-20 22:07:50,5,1.5094452894340127,0.4357333333333333,1.5263974560158593,0.41536614645858344
2024-01-20 22:08:20,6,1.42241813065642,0.46826666666666666,1.730187143598284,0.4141656662665066
2024-01-20 22:08:53,7,1.3561948628748877,0.4988,1.5083312562533788,0.4429771908763505
2024-01-20 22:09:26,8,1.3076528674465115,0.5249333333333334,1.5172031692096166,0.4345738295318127
2024-01-20 22:09:57,9,1.256807109056893,0.5464,1.496570885181427,0.44657863145258103
2024-01-20 22:10:29,10,1.235664058034703,0.5590666666666667,1.4232555074351174,0.468187274909964
2024-01-20 22:10:58,11,1.204388687671241,0.5652,1.5275475297655379,0.47058823529411764
2024-01-20 22:11:28,12,1.1595191309007549,0.5762666666666667,1.8277082272938319,0.47058823529411764
2024-01-20 22:11:57,13,1.1260017015166202,0.5888,1.4236506138529097,0.4765906362545018
2024-01-20 22:12:29,14,1.108158509610063,0.5982666666666666,1.5031206948416573,0.4849939975990396
2024-01-20 22:13:00,15,1.1008065504542852,0.6068,1.436144751363567,0.46338535414165666
2024-01-20 22:13:31,16,1.067836465471882,0.6144,1.4576783861432756,0.5054021608643458
2024-01-20 22:14:02,17,1.0448271516015974,0.6298666666666667,1.6821793062346322,0.4969987995198079
2024-01-20 22:14:34,18,1.020943119869394,0.6392,1.683971038886479,0.4921968787515006
2024-01-20 22:15:05,19,1.011142662016012,0.644,1.42182434456689,0.503001200480192
2024-01-20 22:15:38,20,0.9748682980820284,0.6533333333333333,1.4839161719594682,0.5126050420168067
