Client ID,Server Round,Start Time,End Time
3,1,2024-01-20 22:28:50,2024-01-20 22:29:16
3,2,2024-01-20 22:29:24,2024-01-20 22:29:40
3,3,2024-01-20 22:29:48,2024-01-20 22:30:04
3,4,2024-01-20 22:30:12,2024-01-20 22:30:28
3,5,2024-01-20 22:30:36,2024-01-20 22:30:52
3,6,2024-01-20 22:31:00,2024-01-20 22:31:17
3,7,2024-01-20 22:31:24,2024-01-20 22:31:40
3,8,2024-01-20 22:31:48,2024-01-20 22:32:04
3,9,2024-01-20 22:32:12,2024-01-20 22:32:28
3,10,2024-01-20 22:32:36,2024-01-20 22:32:51
3,11,2024-01-20 22:33:00,2024-01-20 22:33:15
3,12,2024-01-20 22:33:23,2024-01-20 22:33:38
3,13,2024-01-20 22:33:45,2024-01-20 22:34:01
3,14,2024-01-20 22:34:09,2024-01-20 22:34:24
3,15,2024-01-20 22:34:31,2024-01-20 22:34:47
3,16,2024-01-20 22:34:55,2024-01-20 22:35:10
3,17,2024-01-20 22:35:18,2024-01-20 22:35:33
3,18,2024-01-20 22:35:41,2024-01-20 22:35:57
3,19,2024-01-20 22:36:05,2024-01-20 22:36:20
3,20,2024-01-20 22:36:29,2024-01-20 22:36:44
