time,server_round,loss,accuracy
2024-01-20 22:05:53,1,2.3013366631099155,0.10204081632653061
2024-01-20 22:06:25,2,2.0176176003047397,0.2533013205282113
2024-01-20 22:06:57,3,1.7058110748018538,0.34093637454981995
2024-01-20 22:07:28,4,1.5833104678562708,0.3877551020408163
2024-01-20 22:07:58,5,1.3939615025052003,0.44657863145258103
2024-01-20 22:08:31,6,1.5245730451175146,0.4669867947178872
2024-01-20 22:09:04,7,1.294201938169343,0.4909963985594238
2024-01-20 22:09:35,8,1.3541354622159685,0.49339735894357745
2024-01-20 22:10:07,9,1.350358017853328,0.49939975990396157
2024-01-20 22:10:37,10,1.3045076642717635,0.5186074429771909
2024-01-20 22:11:06,11,1.3661383475576128,0.5342136854741897
2024-01-20 22:11:36,12,1.4174439821924483,0.5414165666266506
2024-01-20 22:12:07,13,1.268563142844609,0.5354141656662665
2024-01-20 22:12:38,14,1.1998139188757964,0.5438175270108043
2024-01-20 22:13:09,15,1.3403328827449255,0.5582232893157263
2024-01-20 22:13:41,16,1.2006335237196513,0.5654261704681873
2024-01-20 22:14:12,17,1.2627030951636178,0.5522208883553421
2024-01-20 22:14:43,18,1.2626373342105321,0.5498199279711885
2024-01-20 22:15:17,19,1.2404416373797826,0.5570228091236494
2024-01-20 22:15:47,20,1.328346107687269,0.5498199279711885
