Client ID,Server Round,Start Time,End Time
2,1,2024-01-20 23:11:14,2024-01-20 23:11:44
2,2,2024-01-20 23:11:59,2024-01-20 23:12:21
2,3,2024-01-20 23:12:35,2024-01-20 23:12:56
2,4,2024-01-20 23:13:10,2024-01-20 23:13:32
2,5,2024-01-20 23:13:46,2024-01-20 23:14:07
2,6,2024-01-20 23:14:21,2024-01-20 23:14:42
2,7,2024-01-20 23:14:56,2024-01-20 23:15:17
2,8,2024-01-20 23:15:31,2024-01-20 23:15:53
2,9,2024-01-20 23:16:07,2024-01-20 23:16:29
2,10,2024-01-20 23:16:45,2024-01-20 23:17:06
2,11,2024-01-20 23:17:20,2024-01-20 23:17:41
2,12,2024-01-20 23:17:55,2024-01-20 23:18:16
2,13,2024-01-20 23:18:31,2024-01-20 23:18:52
2,14,2024-01-20 23:19:06,2024-01-20 23:19:27
2,15,2024-01-20 23:19:41,2024-01-20 23:20:02
2,16,2024-01-20 23:20:16,2024-01-20 23:20:37
2,17,2024-01-20 23:20:52,2024-01-20 23:21:13
2,18,2024-01-20 23:21:27,2024-01-20 23:21:48
2,19,2024-01-20 23:22:01,2024-01-20 23:22:22
2,20,2024-01-20 23:22:36,2024-01-20 23:22:57
2,21,2024-01-20 23:23:12,2024-01-20 23:23:33
2,22,2024-01-20 23:23:47,2024-01-20 23:24:08
2,23,2024-01-20 23:24:22,2024-01-20 23:24:43
2,24,2024-01-20 23:24:58,2024-01-20 23:25:19
2,25,2024-01-20 23:25:33,2024-01-20 23:25:54
2,26,2024-01-20 23:26:08,2024-01-20 23:26:30
2,27,2024-01-20 23:26:44,2024-01-20 23:27:05
2,28,2024-01-20 23:27:19,2024-01-20 23:27:40
2,29,2024-01-20 23:27:54,2024-01-20 23:28:15
2,30,2024-01-20 23:28:30,2024-01-20 23:28:52
