Client ID,Server Round,Start Time,End Time
5,1,2024-01-20 22:28:51,2024-01-20 22:29:16
5,2,2024-01-20 22:29:24,2024-01-20 22:29:40
5,3,2024-01-20 22:29:48,2024-01-20 22:30:05
5,4,2024-01-20 22:30:12,2024-01-20 22:30:28
5,5,2024-01-20 22:30:36,2024-01-20 22:30:51
5,6,2024-01-20 22:31:00,2024-01-20 22:31:16
5,7,2024-01-20 22:31:24,2024-01-20 22:31:39
5,8,2024-01-20 22:31:48,2024-01-20 22:32:04
5,9,2024-01-20 22:32:11,2024-01-20 22:32:27
5,10,2024-01-20 22:32:36,2024-01-20 22:32:51
5,11,2024-01-20 22:33:00,2024-01-20 22:33:15
5,12,2024-01-20 22:33:23,2024-01-20 22:33:38
5,13,2024-01-20 22:33:45,2024-01-20 22:34:01
5,14,2024-01-20 22:34:09,2024-01-20 22:34:24
5,15,2024-01-20 22:34:31,2024-01-20 22:34:47
5,16,2024-01-20 22:34:55,2024-01-20 22:35:10
5,17,2024-01-20 22:35:18,2024-01-20 22:35:33
5,18,2024-01-20 22:35:41,2024-01-20 22:35:57
5,19,2024-01-20 22:36:05,2024-01-20 22:36:20
5,20,2024-01-20 22:36:29,2024-01-20 22:36:45
