Client ID,Server Round,Start Time,End Time
4,1,2024-01-20 22:55:50,2024-01-20 22:56:20
4,2,2024-01-20 22:56:37,2024-01-20 22:56:58
4,3,2024-01-20 22:57:12,2024-01-20 22:57:33
4,4,2024-01-20 22:57:47,2024-01-20 22:58:08
4,5,2024-01-20 22:58:22,2024-01-20 22:58:44
4,6,2024-01-20 22:58:58,2024-01-20 22:59:19
4,7,2024-01-20 22:59:32,2024-01-20 22:59:54
4,8,2024-01-20 23:00:08,2024-01-20 23:00:30
4,9,2024-01-20 23:00:43,2024-01-20 23:01:05
4,10,2024-01-20 23:01:18,2024-01-20 23:01:39
4,11,2024-01-20 23:01:53,2024-01-20 23:02:14
4,12,2024-01-20 23:02:28,2024-01-20 23:02:49
4,13,2024-01-20 23:03:03,2024-01-20 23:03:24
4,14,2024-01-20 23:03:37,2024-01-20 23:03:59
4,15,2024-01-20 23:04:13,2024-01-20 23:04:34
4,16,2024-01-20 23:04:48,2024-01-20 23:05:10
4,17,2024-01-20 23:05:24,2024-01-20 23:05:46
4,18,2024-01-20 23:05:58,2024-01-20 23:06:19
4,19,2024-01-20 23:06:34,2024-01-20 23:06:55
4,20,2024-01-20 23:07:08,2024-01-20 23:07:29
