Client ID,Server Round,Start Time,End Time
4,1,2024-01-20 22:05:05,2024-01-20 22:05:43
4,2,2024-01-20 22:05:53,2024-01-20 22:06:16
4,3,2024-01-20 22:06:26,2024-01-20 22:06:48
4,4,2024-01-20 22:06:57,2024-01-20 22:07:19
4,5,2024-01-20 22:07:29,2024-01-20 22:07:50
4,6,2024-01-20 22:07:59,2024-01-20 22:08:20
4,7,2024-01-20 22:08:32,2024-01-20 22:08:53
4,8,2024-01-20 22:09:04,2024-01-20 22:09:26
4,9,2024-01-20 22:09:36,2024-01-20 22:09:57
4,10,2024-01-20 22:10:07,2024-01-20 22:10:28
4,11,2024-01-20 22:10:37,2024-01-20 22:10:58
4,12,2024-01-20 22:11:07,2024-01-20 22:11:28
4,13,2024-01-20 22:11:37,2024-01-20 22:11:58
4,14,2024-01-20 22:12:07,2024-01-20 22:12:28
4,15,2024-01-20 22:12:39,2024-01-20 22:13:00
4,16,2024-01-20 22:13:10,2024-01-20 22:13:31
4,17,2024-01-20 22:13:42,2024-01-20 22:14:03
4,18,2024-01-20 22:14:13,2024-01-20 22:14:34
4,19,2024-01-20 22:14:43,2024-01-20 22:15:05
4,20,2024-01-20 22:15:17,2024-01-20 22:15:38
