Client ID,Server Round,Start Time,End Time
3,1,2024-01-20 22:55:51,2024-01-20 22:56:21
3,2,2024-01-20 22:56:36,2024-01-20 22:56:58
3,3,2024-01-20 22:57:12,2024-01-20 22:57:34
3,4,2024-01-20 22:57:47,2024-01-20 22:58:08
3,5,2024-01-20 22:58:22,2024-01-20 22:58:44
3,6,2024-01-20 22:58:57,2024-01-20 22:59:18
3,7,2024-01-20 22:59:32,2024-01-20 22:59:54
3,8,2024-01-20 23:00:08,2024-01-20 23:00:30
3,9,2024-01-20 23:00:43,2024-01-20 23:01:05
3,10,2024-01-20 23:01:18,2024-01-20 23:01:39
3,11,2024-01-20 23:01:53,2024-01-20 23:02:14
3,12,2024-01-20 23:02:27,2024-01-20 23:02:49
3,13,2024-01-20 23:03:03,2024-01-20 23:03:24
3,14,2024-01-20 23:03:38,2024-01-20 23:03:59
3,15,2024-01-20 23:04:13,2024-01-20 23:04:34
3,16,2024-01-20 23:04:48,2024-01-20 23:05:10
3,17,2024-01-20 23:05:24,2024-01-20 23:05:45
3,18,2024-01-20 23:05:59,2024-01-20 23:06:20
3,19,2024-01-20 23:06:34,2024-01-20 23:06:55
3,20,2024-01-20 23:07:08,2024-01-20 23:07:29
