Client ID,Server Round,Start Time,End Time
2,1,2024-01-20 22:40:55,2024-01-20 22:41:24
2,2,2024-01-20 22:41:34,2024-01-20 22:41:58
2,3,2024-01-20 22:42:14,2024-01-20 22:42:34
2,4,2024-01-20 22:42:44,2024-01-20 22:43:03
2,5,2024-01-20 22:43:14,2024-01-20 22:43:33
2,6,2024-01-20 22:43:46,2024-01-20 22:44:06
2,7,2024-01-20 22:44:16,2024-01-20 22:44:35
2,8,2024-01-20 22:44:46,2024-01-20 22:45:04
2,9,2024-01-20 22:45:14,2024-01-20 22:45:34
2,10,2024-01-20 22:45:44,2024-01-20 22:46:03
2,11,2024-01-20 22:46:14,2024-01-20 22:46:33
2,12,2024-01-20 22:46:43,2024-01-20 22:47:02
2,13,2024-01-20 22:47:12,2024-01-20 22:47:31
2,14,2024-01-20 22:47:41,2024-01-20 22:48:00
2,15,2024-01-20 22:48:10,2024-01-20 22:48:29
2,16,2024-01-20 22:48:39,2024-01-20 22:48:58
2,17,2024-01-20 22:49:09,2024-01-20 22:49:28
2,18,2024-01-20 22:49:38,2024-01-20 22:49:57
2,19,2024-01-20 22:50:07,2024-01-20 22:50:26
2,20,2024-01-20 22:50:37,2024-01-20 22:50:56
