Client ID,Server Round,Start Time,End Time
1,1,2024-01-20 22:05:05,2024-01-20 22:05:42
1,2,2024-01-20 22:05:54,2024-01-20 22:06:16
1,3,2024-01-20 22:06:26,2024-01-20 22:06:48
1,4,2024-01-20 22:06:57,2024-01-20 22:07:20
1,5,2024-01-20 22:07:29,2024-01-20 22:07:50
1,6,2024-01-20 22:07:59,2024-01-20 22:08:22
1,7,2024-01-20 22:08:32,2024-01-20 22:08:53
1,8,2024-01-20 22:09:04,2024-01-20 22:09:26
1,9,2024-01-20 22:09:36,2024-01-20 22:09:57
1,10,2024-01-20 22:10:07,2024-01-20 22:10:29
1,11,2024-01-20 22:10:37,2024-01-20 22:10:58
1,12,2024-01-20 22:11:07,2024-01-20 22:11:28
1,13,2024-01-20 22:11:37,2024-01-20 22:11:58
1,14,2024-01-20 22:12:07,2024-01-20 22:12:29
1,15,2024-01-20 22:12:39,2024-01-20 22:13:00
1,16,2024-01-20 22:13:10,2024-01-20 22:13:31
1,17,2024-01-20 22:13:42,2024-01-20 22:14:03
1,18,2024-01-20 22:14:13,2024-01-20 22:14:35
1,19,2024-01-20 22:14:43,2024-01-20 22:15:05
1,20,2024-01-20 22:15:18,2024-01-20 22:15:40
